,,,,count
DWG,FNC,FLY,LGD,240
DWG,FNC,MCX,LGD,96
DWG,JDG,FLY,MAD,216
DWG,JDG,MCX,MAD,96
DWG,JDG,ROG,TL,144
DWG,JDG,ROG,UOL,96
DWG,SNG,FLY,MAD,216
DWG,SNG,MCX,MAD,96
DWG,SNG,ROG,TL,144
DWG,SNG,ROG,UOL,96
G2,DRX,FLY,LGD,240
G2,DRX,MCX,LGD,96
G2,JDG,FLY,UOL,96
G2,JDG,GEN,TL,168
G2,JDG,GEN,UOL,96
G2,JDG,MCX,TL,96
G2,JDG,MCX,UOL,96
G2,SNG,FLY,UOL,96
G2,SNG,GEN,TL,168
G2,SNG,GEN,UOL,96
G2,SNG,MCX,TL,96
G2,SNG,MCX,UOL,96
TES,DRX,FLY,MAD,240
TES,DRX,MCX,MAD,96
TES,DRX,ROG,TL,288
TES,DRX,ROG,UOL,192
TES,FNC,FLY,UOL,96
TES,FNC,GEN,TL,240
TES,FNC,GEN,UOL,96
TES,FNC,MCX,TL,96
TES,FNC,MCX,UOL,96
TSM,DRX,ROG,LGD,288
TSM,FNC,GEN,LGD,288
TSM,FNC,MCX,LGD,192
TSM,JDG,GEN,MAD,144
TSM,JDG,MCX,MAD,96
TSM,JDG,ROG,UOL,96
TSM,SNG,GEN,MAD,144
TSM,SNG,MCX,MAD,96
TSM,SNG,ROG,UOL,96
